Wall time,Step,Value
1654068296.445743,10,0.07995226234197617
1654068296.670671,20,0.07426172494888306
1654068296.896947,30,0.06124670431017876
1654068297.121106,40,0.0541815310716629
1654068297.344517,50,0.05057710036635399
1654068297.567809,60,0.047391269356012344
1654068297.792419,70,0.04450059309601784
1654068298.015385,80,0.04292946681380272
1654068298.239589,90,0.042090319097042084
1654068298.461664,100,0.039872244000434875
1654068298.684441,110,0.03882694989442825
1654068298.909739,120,0.036796290427446365
1654068299.132406,130,0.035378288477659225
1654068299.357861,140,0.033609677106142044
1654068299.58238,150,0.03134645149111748
1654068299.805993,160,0.030004892498254776
1654068300.029923,170,0.02834033966064453
1654068300.254284,180,0.02680196613073349
1654068300.47772,190,0.024792702868580818
1654068300.700635,200,0.02324521169066429
1654068300.923744,210,0.021985061466693878
1654068301.148372,220,0.02081882208585739
1654068301.372254,230,0.02005787193775177
1654068301.596543,240,0.01862192712724209
1654068301.81967,250,0.01733953319489956
1654068302.043538,260,0.016601262614130974
1654068302.267075,270,0.015538271516561508
1654068302.491379,280,0.014882003888487816
1654068302.7164,290,0.014412940479815006
1654068302.942204,300,0.013963396660983562
1654068303.169533,310,0.01336503867059946
1654068303.392574,320,0.012932403944432735
1654068303.616892,330,0.012417394667863846
1654068303.841017,340,0.01210812758654356
1654068304.062096,350,0.011889501474797726
1654068304.286318,360,0.011394871398806572
1654068304.510554,370,0.010961208492517471
1654068304.735442,380,0.010687438771128654
1654068304.959211,390,0.01053101010620594
1654068305.183533,400,0.010360881686210632
1654068305.405821,410,0.010161412879824638
1654068305.630136,420,0.010063539259135723
1654068305.854743,430,0.00991252064704895
1654068306.07828,440,0.009774243459105492
1654068306.30219,450,0.00961074884980917
1654068306.527167,460,0.009283953346312046
1654068306.75183,470,0.009130513295531273
1654068306.978783,480,0.009008558467030525
1654068307.207321,490,0.008853266015648842
1654068307.430315,500,0.008708718232810497
1654068307.653051,510,0.008637272752821445
1654068307.877065,520,0.008525639772415161
1654068308.099867,530,0.008326992392539978
1654068308.323036,540,0.008169367909431458
1654068308.549244,550,0.007989742793142796
1654068308.775288,560,0.007748430594801903
1654068308.997589,570,0.007587313186377287
1654068309.22083,580,0.007458628620952368
1654068309.443986,590,0.00734983803704381
1654068309.668195,600,0.007253680378198624
1654068309.893753,610,0.00720297871157527
1654068310.11758,620,0.007065961603075266
1654068310.340125,630,0.006926346104592085
1654068310.567335,640,0.006835469510406256
1654068310.791607,650,0.006622662767767906
1654068311.017401,660,0.0064567881636321545
1654068311.240034,670,0.006282573565840721
1654068311.465751,680,0.0061789522878825665
1654068311.692134,690,0.006082338280975819
1654068311.916529,700,0.005957700312137604
1654068312.139871,710,0.005862691439688206
1654068312.365919,720,0.0057607549242675304
1654068312.589464,730,0.00563113484531641
1654068312.814892,740,0.005550595466047525
1654068313.041322,750,0.005480360239744186
1654068313.264902,760,0.0053626056760549545
1654068313.487847,770,0.005309463478624821
1654068313.711156,780,0.005245759151875973
1654068313.934604,790,0.005173927638679743
1654068314.161102,800,0.0051330639980733395
1654068314.38837,810,0.005103341303765774
1654068314.614803,820,0.00503618223592639
1654068314.840549,830,0.004977162927389145
