Wall time,Step,Value
1654072445.572813,0,400.2735595703125
1654072445.877691,10,392.44769287109375
1654072446.169719,20,392.0643615722656
1654072446.461798,30,391.3363952636719
1654072446.75586,40,390.5987243652344
1654072447.049928,50,389.3457336425781
1654072447.340463,60,387.2015380859375
1654072447.632956,70,385.49212646484375
1654072447.925424,80,384.3271484375
1654072448.217207,90,383.40216064453125
1654072448.508637,100,382.6979064941406
1654072448.802941,110,381.25604248046875
1654072449.095015,120,379.60430908203125
1654072449.387143,130,378.3172912597656
1654072449.678396,140,375.9931335449219
1654072449.970359,150,373.5771789550781
1654072450.262328,160,371.89971923828125
1654072450.554456,170,369.2798156738281
1654072450.847292,180,364.3279724121094
1654072451.141039,190,360.2593688964844
1654072451.433124,200,355.515380859375
1654072451.7256,210,352.92138671875
1654072452.019673,220,340.0626525878906
1654072452.311988,230,330.7381591796875
1654072452.603745,240,321.5285339355469
1654072452.897566,250,313.4334411621094
1654072453.191471,260,300.23919677734375
1654072453.486165,270,300.3561096191406
1654072453.778764,280,283.5238342285156
1654072454.073566,290,272.1759033203125
1654072454.367856,300,276.7126770019531
1654072454.65888,310,262.7705078125
1654072454.955494,320,262.8627014160156
1654072455.250025,330,257.6786804199219
1654072455.54306,340,329.50030517578125
1654072455.837029,350,254.475830078125
1654072456.129749,360,254.29904174804688
1654072456.422433,370,252.15316772460938
1654072456.716604,380,251.04356384277344
1654072457.009019,390,249.07664489746094
1654072457.299997,400,247.79908752441406
1654072457.592815,410,248.0722198486328
1654072457.886972,420,246.9218292236328
1654072458.179734,430,246.4010467529297
1654072458.472358,440,246.1619110107422
1654072458.766602,450,245.921875
1654072459.06155,460,245.7230224609375
1654072459.35452,470,245.5517578125
1654072459.646856,480,245.4047088623047
1654072459.941757,490,245.4268341064453
1654072460.237111,500,261.1154479980469
1654072460.529819,510,247.9224090576172
1654072460.825409,520,245.3073272705078
1654072461.121196,530,245.35214233398438
1654072461.425158,540,244.86949157714844
1654072461.718281,550,244.63595581054688
1654072462.012488,560,244.4521026611328
1654072462.304665,570,244.3390655517578
1654072462.603978,580,244.22412109375
1654072462.897121,590,244.12139892578125
1654072463.19176,600,244.05624389648438
1654072463.483989,610,244.51861572265625
1654072463.778365,620,246.50379943847656
1654072464.070812,630,244.34718322753906
1654072464.366775,640,243.73536682128906
1654072464.661372,650,243.79981994628906
1654072464.955089,660,243.5664825439453
1654072465.25049,670,243.3987274169922
1654072465.54544,680,243.2595672607422
1654072465.838392,690,243.123291015625
1654072466.133691,700,243.06724548339844
1654072466.426673,710,244.17771911621094
1654072466.720747,720,244.520263671875
1654072467.016818,730,243.97747802734375
1654072467.309551,740,243.15904235839844
1654072467.604048,750,242.6509246826172
1654072467.896015,760,242.4320831298828
1654072468.187326,770,242.26316833496094
1654072468.479539,780,242.14637756347656
1654072468.775043,790,242.0080108642578
1654072469.067053,800,241.9052276611328
1654072469.361847,810,243.32504272460938
1654072469.653738,820,241.90011596679688
1654072469.946009,830,241.65164184570312
1654072470.240638,840,241.7300262451172
1654072470.53641,850,241.30056762695312
1654072470.82942,860,240.9949951171875
1654072471.122403,870,240.80264282226562
1654072471.417225,880,240.59066772460938
1654072471.711656,890,240.35923767089844
1654072472.004276,900,240.13681030273438
1654072472.296076,910,240.03805541992188
1654072472.589126,920,248.01776123046875
1654072472.88431,930,240.9727783203125
1654072473.178732,940,239.22360229492188
1654072473.471236,950,238.75315856933594
1654072473.762929,960,238.47512817382812
1654072474.05546,970,237.90692138671875
1654072474.351175,980,237.41061401367188
1654072474.645429,990,236.8384552001953
