Wall time,Step,Value
1654071805.711331,0,137.12322998046875
1654071805.934093,10,51.79133987426758
1654071806.135998,20,28.978450775146484
1654071806.338556,30,21.947046279907227
1654071806.554288,40,21.24930191040039
1654071806.758396,50,20.179643630981445
1654071806.962954,60,19.909339904785156
1654071807.16461,70,19.764497756958008
1654071807.368972,80,19.62065887451172
1654071807.574088,90,19.561731338500977
1654071807.780312,100,19.508764266967773
1654071807.983435,110,19.467735290527344
1654071808.18796,120,19.434295654296875
1654071808.391831,130,19.406177520751953
1654071808.596951,140,19.38234519958496
1654071808.799818,150,19.361726760864258
1654071809.0079,160,19.34377098083496
1654071809.213702,170,19.327980041503906
1654071809.4176,180,19.31398582458496
1654071809.620556,190,19.3015079498291
1654071809.824726,200,19.290313720703125
1654071810.029577,210,19.28022575378418
1654071810.232647,220,19.27108383178711
1654071810.435485,230,19.262775421142578
1654071810.641426,240,19.25519371032715
1654071810.845866,250,19.24826431274414
1654071811.048318,260,19.241907119750977
1654071811.252456,270,19.236064910888672
1654071811.457317,280,19.230690002441406
1654071811.666959,290,19.225732803344727
1654071811.866992,300,19.22115707397461
1654071812.069739,310,19.2169246673584
1654071812.273414,320,19.213010787963867
1654071812.477842,330,19.20937728881836
1654071812.686141,340,19.20600700378418
1654071812.889689,350,19.20286750793457
1654071813.097714,360,19.1999454498291
1654071813.304423,370,19.197216033935547
1654071813.507873,380,19.194664001464844
1654071813.711164,390,19.192272186279297
1654071813.914271,400,19.19002342224121
1654071814.117176,410,19.187915802001953
1654071814.320043,420,19.18592643737793
1654071814.523815,430,19.184051513671875
1654071814.73102,440,19.182279586791992
1654071814.935358,450,19.180606842041016
1654071815.140964,460,19.179025650024414
1654071815.346593,470,19.177528381347656
1654071815.551054,480,19.176118850708008
1654071815.75594,490,19.174781799316406
1654071815.959249,500,19.17352294921875
1654071816.162683,510,19.172334671020508
1654071816.363846,520,19.171215057373047
1654071816.566051,530,19.170164108276367
1654071816.769355,540,19.169178009033203
1654071816.972556,550,19.168251037597656
1654071817.17782,560,19.16738510131836
1654071817.381189,570,19.166576385498047
1654071817.584022,580,19.165821075439453
1654071817.787859,590,19.165119171142578
1654071817.991374,600,19.164466857910156
1654071818.193955,610,19.16385841369629
1654071818.400335,620,19.163293838500977
1654071818.604805,630,19.16277313232422
1654071818.807245,640,19.16228675842285
1654071819.010463,650,19.161836624145508
1654071819.21584,660,19.16141700744629
1654071819.424258,670,19.161027908325195
1654071819.627677,680,19.160667419433594
1654071819.831697,690,19.16033172607422
1654071820.039355,700,19.16001319885254
1654071820.244286,710,19.159711837768555
1654071820.450945,720,19.1594295501709
1654071820.657873,730,19.15915870666504
1654071820.859847,740,19.158903121948242
1654071821.062965,750,19.15865707397461
1654071821.265934,760,19.15842056274414
1654071821.471615,770,19.15818977355957
1654071821.700405,780,19.157962799072266
1654071821.908196,790,19.157743453979492
1654071822.114632,800,19.15752410888672
1654071822.319823,810,19.157306671142578
1654071822.526528,820,19.157094955444336
1654071822.729971,830,19.156879425048828
1654071822.936997,840,19.156667709350586
1654071823.141988,850,19.156452178955078
1654071823.349526,860,19.156234741210938
