Wall time,Step,Value
1654074091.638113,10,74.37628936767578
1654074091.948629,20,74.26155853271484
1654074092.258877,30,74.05110168457031
1654074092.568827,40,73.8188247680664
1654074092.877724,50,73.41947937011719
1654074093.188806,60,73.13862609863281
1654074093.500541,70,72.85150146484375
1654074093.808844,80,72.3592300415039
1654074094.11718,90,72.05201721191406
1654074094.422676,100,71.83642578125
1654074094.735179,110,71.55260467529297
1654074095.045621,120,71.20571899414062
1654074095.354157,130,70.6902847290039
1654074095.672085,140,70.58174133300781
1654074095.982342,150,70.37351989746094
1654074096.293092,160,69.91597747802734
1654074096.604307,170,69.79828643798828
1654074096.9192,180,69.61873626708984
1654074097.2275,190,69.3650894165039
1654074097.540845,200,69.19335174560547
1654074097.850064,210,68.83898162841797
1654074098.159674,220,68.67807006835938
1654074098.475251,230,68.32623291015625
1654074098.785719,240,68.15337371826172
1654074099.099574,250,67.96826171875
1654074099.411911,260,67.83466339111328
1654074099.720171,270,67.49752807617188
1654074100.031028,280,67.23958587646484
1654074100.34159,290,66.86273193359375
1654074100.650422,300,66.60237884521484
1654074100.959219,310,65.58895874023438
1654074101.270145,320,64.41451263427734
1654074101.580859,330,63.953372955322266
1654074101.888873,340,63.767303466796875
1654074102.198424,350,63.3616828918457
1654074102.511415,360,63.09284210205078
1654074102.822922,370,62.86056137084961
1654074103.129473,380,63.01692199707031
1654074103.436838,390,62.62408447265625
1654074103.74846,400,62.43954086303711
1654074104.060124,410,62.364688873291016
1654074104.372749,420,62.278167724609375
1654074104.685125,430,62.21877670288086
1654074104.997491,440,62.15807342529297
1654074105.310699,450,62.068931579589844
1654074105.622566,460,61.98224639892578
1654074105.933671,470,61.62202835083008
1654074106.24596,480,61.192466735839844
1654074106.55667,490,60.76313781738281
1654074106.870544,500,60.24747085571289
1654074107.179909,510,60.07278823852539
1654074107.490279,520,59.981510162353516
1654074107.803455,530,59.77651596069336
1654074108.120416,540,59.71279525756836
1654074108.437025,550,59.62872314453125
1654074108.747945,560,59.48869323730469
1654074109.063961,570,59.3962287902832
1654074109.3796,580,59.30486297607422
1654074109.696851,590,59.083892822265625
1654074110.013515,600,58.96442794799805
1654074110.332992,610,58.76049041748047
1654074110.644953,620,58.36748504638672
1654074110.955095,630,58.197174072265625
1654074111.273957,640,57.949310302734375
1654074111.589502,650,57.81306076049805
1654074111.904325,660,57.67638397216797
1654074112.218496,670,57.60533905029297
1654074112.528724,680,57.52647399902344
1654074112.84337,690,57.37164306640625
1654074113.154692,700,57.320350646972656
1654074113.466821,710,57.22174072265625
1654074113.781671,720,57.135257720947266
1654074114.10303,730,56.96158981323242
1654074114.415575,740,56.904380798339844
1654074114.727464,750,56.76496505737305
1654074115.041407,760,56.71200942993164
1654074115.354735,770,56.617279052734375
1654074115.664676,780,56.38498306274414
1654074115.98077,790,56.300628662109375
1654074116.298609,800,56.04929733276367
1654074116.612476,810,55.93726348876953
1654074116.924394,820,55.87043380737305
1654074117.239112,830,55.6446418762207
1654074117.552908,840,55.399993896484375
1654074117.865093,850,55.20661544799805
1654074118.175318,860,54.80575180053711
1654074118.487143,870,54.598209381103516
1654074118.798916,880,54.37968826293945
1654074119.113532,890,54.25153350830078
1654074119.43207,900,54.07051086425781
1654074119.75696,910,53.92437744140625
1654074120.076369,920,53.78082275390625
1654074120.391119,930,53.686607360839844
1654074120.703955,940,53.45231246948242
1654074121.020505,950,53.06813049316406
1654074121.339493,960,52.86341857910156
1654074121.655059,970,52.7293701171875
1654074121.968475,980,52.58481979370117
1654074122.283723,990,52.426795959472656
1654074122.599577,1000,52.327388763427734
1654074122.912042,1010,52.154457092285156
1654074123.230762,1020,51.92913818359375
1654074123.541348,1030,51.857391357421875
1654074123.855937,1040,51.79433059692383
1654074124.164474,1050,51.72608947753906
1654074124.480018,1060,51.67430114746094
1654074124.791001,1070,51.56635665893555
1654074125.107006,1080,51.49354553222656
1654074125.420487,1090,51.475650787353516
1654074125.734752,1100,51.39279556274414
1654074126.053855,1110,51.30389404296875
1654074126.365989,1120,51.224876403808594
1654074126.680037,1130,51.17203903198242
1654074126.998093,1140,51.10584259033203
1654074127.312682,1150,51.019222259521484
1654074127.630137,1160,50.922828674316406
1654074127.951655,1170,50.8227653503418
1654074128.268719,1180,50.7430305480957
1654074128.584022,1190,50.71879577636719
1654074128.897444,1200,50.69483947753906
1654074129.213076,1210,50.64765930175781
1654074129.533519,1220,50.58785629272461
1654074129.85237,1230,50.50236129760742
1654074130.167334,1240,50.42689895629883
1654074130.482128,1250,50.3273811340332
1654074130.801337,1260,50.262420654296875
1654074131.119312,1270,50.23196792602539
1654074131.449383,1280,50.204376220703125
1654074131.75991,1290,50.16189193725586
1654074132.075746,1300,50.11894607543945
1654074132.394135,1310,50.07929611206055
1654074132.710442,1320,50.04859924316406
1654074133.031118,1330,50.01945114135742
1654074133.343462,1340,49.97736740112305
1654074133.666722,1350,49.93177032470703
1654074133.983369,1360,49.889617919921875
1654074134.298311,1370,49.85927963256836
1654074134.613083,1380,49.8048210144043
1654074134.926361,1390,49.74473190307617
1654074135.238696,1400,49.70756912231445
1654074135.551581,1410,49.67832565307617
1654074135.86404,1420,49.64977264404297
1654074136.184881,1430,49.6093635559082
1654074136.51101,1440,49.53839874267578
1654074136.825989,1450,49.40169143676758
1654074137.138441,1460,49.31803512573242
1654074137.448795,1470,49.26632308959961
1654074137.761882,1480,49.218807220458984
1654074138.076011,1490,49.16871643066406
1654074138.394111,1500,49.08607482910156
1654074138.707199,1510,49.01190185546875
1654074139.017552,1520,48.947696685791016
1654074139.336545,1530,48.850433349609375
1654074139.657738,1540,48.818626403808594
1654074139.971431,1550,48.77018356323242
1654074140.280836,1560,48.73469161987305
1654074140.596608,1570,48.67674255371094
1654074140.913115,1580,48.617774963378906
1654074141.233782,1590,48.55159378051758
1654074141.554309,1600,48.4870491027832
1654074141.870036,1610,48.42399597167969
1654074142.18752,1620,48.33650207519531
1654074142.504119,1630,48.15080642700195
1654074142.818479,1640,47.988037109375
1654074143.137896,1650,47.90530776977539
1654074143.458642,1660,47.7734375
1654074143.768961,1670,47.61560821533203
1654074144.083031,1680,47.534934997558594
1654074144.400429,1690,47.48743438720703
1654074144.718874,1700,47.41108703613281
1654074145.029399,1710,47.314632415771484
1654074145.345656,1720,47.21007537841797
1654074145.659292,1730,47.14311981201172
1654074145.971892,1740,47.059444427490234
1654074146.293557,1750,46.99344253540039
1654074146.610616,1760,46.91642761230469
1654074146.921101,1770,46.87091827392578
1654074147.232759,1780,46.79549026489258
1654074147.554545,1790,46.751808166503906
1654074147.872175,1800,46.69160461425781
1654074148.190671,1810,46.593509674072266
1654074148.514307,1820,46.44550704956055
1654074148.828921,1830,46.388004302978516
1654074149.140478,1840,46.32933807373047
1654074149.457171,1850,46.28047180175781
1654074149.775764,1860,46.18132019042969
1654074150.087459,1870,46.1392822265625
1654074150.407958,1880,46.15821838378906
1654074150.725503,1890,46.06496047973633
1654074151.043045,1900,46.02912139892578
1654074151.362026,1910,45.988407135009766
1654074151.676502,1920,45.928524017333984
1654074151.990719,1930,45.910560607910156
1654074152.304071,1940,45.8854866027832
1654074152.620891,1950,45.830108642578125
1654074152.945,1960,45.768157958984375
1654074153.264413,1970,45.70500183105469
1654074153.574155,1980,45.628379821777344
1654074153.888781,1990,45.557411193847656
1654074154.201966,2000,45.53010559082031
1654074154.512752,2010,45.47091293334961
1654074154.824197,2020,45.43708801269531
1654074155.139331,2030,45.36608123779297
1654074155.455336,2040,45.317955017089844
1654074155.771241,2050,45.25428771972656
1654074156.088444,2060,45.16172790527344
1654074156.399732,2070,45.074920654296875
1654074156.711915,2080,44.979984283447266
1654074157.022969,2090,44.903961181640625
1654074157.338189,2100,44.83863067626953
1654074157.653374,2110,44.7779541015625
1654074157.9666,2120,44.73283767700195
1654074158.278645,2130,44.697689056396484
1654074158.597612,2140,44.64291000366211
1654074158.914714,2150,44.54934310913086
1654074159.232474,2160,44.454933166503906
1654074159.550056,2170,44.362857818603516
1654074159.86851,2180,44.28402328491211
1654074160.182718,2190,44.20223617553711
1654074160.498687,2200,44.08111572265625
1654074160.816803,2210,43.8999137878418
1654074161.131183,2220,43.82367706298828
1654074161.44432,2230,43.787628173828125
1654074161.761618,2240,43.74540710449219
1654074162.078007,2250,43.72016906738281
1654074162.391039,2260,43.69116973876953
1654074162.709213,2270,43.670074462890625
1654074163.018257,2280,43.63031768798828
1654074163.329369,2290,43.60708999633789
1654074163.64586,2300,43.581398010253906
1654074163.962024,2310,43.56205368041992
1654074164.271807,2320,43.52643585205078
1654074164.588583,2330,43.49544143676758
1654074164.902362,2340,43.481292724609375
1654074165.216682,2350,43.465213775634766
1654074165.53234,2360,43.441314697265625
1654074165.84682,2370,43.435768127441406
1654074166.156955,2380,43.40532684326172
1654074166.473054,2390,43.388214111328125
1654074166.790872,2400,43.37132263183594
1654074167.105466,2410,43.36225509643555
1654074167.416194,2420,43.348915100097656
1654074167.732983,2430,43.32063674926758
1654074168.046947,2440,43.30807876586914
1654074168.364747,2450,43.29281234741211
1654074168.682605,2460,43.280460357666016
1654074168.997267,2470,43.27173614501953
1654074169.310718,2480,43.2603874206543
1654074169.6222,2490,43.244049072265625
1654074169.936286,2500,43.22884750366211
1654074170.249071,2510,43.20930480957031
1654074170.572771,2520,43.197509765625
1654074170.88302,2530,43.17704391479492
1654074171.196983,2540,43.15903091430664
1654074171.510737,2550,43.147422790527344
1654074171.824298,2560,43.140113830566406
1654074172.133904,2570,43.13246154785156
1654074172.4502,2580,43.1195182800293
1654074172.771408,2590,43.110931396484375
1654074173.102422,2600,43.10363006591797
